teams,cost,score,avg
redbull,32.3,66,16.5
mercedes,34,91,22.75
mclaren,17.6,18,4.5
ferrari,25.8,139,34.75
aston_martin,11.1,33,8.25
alpha_tauri,10.3,7,1.75
alpine,13.9,37,9.25
alpha_romeo,8.5,34,8.5
haas,6.2,38,9.5
williams,6.7,14,3.5
