dates,venue
19/03/22,bhr
27/03/22,sau
10/04/22,aus
24/04/22,rom
08/05/22,mia
22/05/22,esp
29/05/22,mco
12/06/22,aze
19/06/22,can
03/07/22,gbr
10/07/22,aut
24/07/22,fra
31/07/22,hun
28/08/22,bel
04/09/22,nld
11/09/22,ita
02/10/22,sgp
09/10/22,jpn
23/10/22,usa
30/10/22,mex
13/11/22,bra
20/11/22,are
